:ID,:LABEL,label,codeSystem,hasCode
IF:huy-t-kh-i-t-nh-m-ch-chi-d-i,ImagingFinding,Huyết khối tĩnh mạch chi dưới,,
IF:huy-t-kh-i,ImagingFinding,Huyết khối,,
IF:d-n-ng-m-ch-ph-i,ImagingFinding,Dãn động mạch phổi,,
IF:l-n-th-t-ph-i,ImagingFinding,Lớn thất phải,,
IF:b-t-t-ng-h-p-th-ng-kh-t-i-m-u,ImagingFinding,Bất tương hợp thông khí tưới máu,,
IF:h-nh-khuy-t-thu-c,ImagingFinding,hình khuyết thuốc,,
IF:c-c-m-u-ng,ImagingFinding,cục máu đông,,
CS:huy-t-ng-n-nh,ClinicalSign,huyết động ổn định,,
IM:si-u-m-tim,ImagingModality,Siêu âm tim,,
IM:ct-scan-ng-c,ImagingModality,CT scan ngực,,
D:ttp,Disease,TTP,,
M:500ng-ml,Measurement,< 500ng/mL,,
SV:i-m-wells,Severity,Điểm Wells,,
LT:ddimers,LabTest,DDimers,,
IM:ch-p-ng-m-ch-ph-i-b-ng-ct-a-l-t-c-t,ImagingModality,Chụp động mạch phổi bằng CT đa lát cắt,,
M:500ng-ml,Measurement,> 500ng/mL,,
IF:d-n-th-t-ph-i,ImagingFinding,Dãn thất phải,,
IF:d-n-nh-ph-i,ImagingFinding,Dãn nhĩ phải,,
D:s-c-tim,Disease,Sốc tim,,
D:t-n-th-ng-van-n-ng,Disease,Tổn thương van nặng,,
D:ch-n-p-tim,Disease,Chèn ép tim,,
D:b-c-t-ch-mc,Disease,Bóc tách ĐMC,,
D:vi-m-ph-i,Disease,Viêm phổi,,
D:nh-i-m-u-c-tim,Disease,Nhồi máu cơ tim,,
D:vi-m-m-ng-ngo-i-tim,Disease,Viêm màng ngoài tim,,
D:suy-tim-sung-huy-t,Disease,Suy tim sung huyết,,
D:t-ng-p-ph-i-ti-n-ph-t,Disease,Tăng áp phổi tiên phát,,
D:copd,Disease,COPD,,
D:suy-tim,Disease,Suy tim,,
D:a-ch-n-th-ng,Disease,Đa chấn thương,,
CS:t-t-huy-t-p,ClinicalSign,Tụt huyết áp,,
D:r-i-lo-n-ch-c-n-ng-th-t-ph-i,Disease,Rối loạn chức năng thất phải,,
D:t-n-th-ng-c-tim,Disease,Tổn thương cơ tim,,
CS:t-t-huy-t-p,ClinicalSign,tụt huyết áp,,
IM:si-u-m-tim,ImagingModality,siêu âm tim,,
IM:ch-p-c-t-l-p,ImagingModality,chụp cắt lớp,,
PR:th-ng-tim,Procedure,Thông tim,,
D:suy-h-h-p-c-p,Disease,Suy hô hấp cấp,,
D:suy-tim-p-c-p,Disease,Suy tim P cấp,,
D:t-m-ph-c-p,Disease,Tâm phế cấp,,
CS:ho-ra-m-u,ClinicalSign,Ho ra máu,,
D:h-i-ch-ng-nh-i-m-u-ph-i,Disease,Hội chứng nhồi máu phổi,,
D:thuy-n-t-c-m-ch-m-u-nh-ngo-i-bi-n,Disease,Thuyên tắc mạch máu nhỏ ngoại biên,,
AS:ph-i,AnatomicalSite,Phổi,,
CS:au-ng-c-ki-u-m-ng,ClinicalSign,Đau ngực kiểu màng,,
CS:s-t-nh,ClinicalSign,Sốt nhẹ,,
CS:ti-ng-c-m-ng-ph-i,ClinicalSign,Tiếng cọ màng phổi,,
CS:t-ng-b-ch-m-u-m-u,ClinicalSign,Tăng bạch máu máu,,
D:suy-h-h-p-m-n,Disease,Suy hô hấp mãn,,
D:t-m-ph-m-n,Disease,Tâm phế mãn,,
DR:heparin,Drug,Heparin,,
LT:aptt,LabTest,aPTT,,
DR:ti-u-s-i-huy-t,Drug,Tiêu sợi huyết,,
D:xu-t-huy-t-n-o,Disease,Xuất huyết não,,
D:t-qu,Disease,Đột quỵ,,
D:nh-i-m-u-n-o,Disease,Nhồi máu não,,
D:u-h-th-n-kinh-trung-ng,Disease,U hệ thần kinh trung ương,,
D:ch-n-th-ng-u,Disease,Chấn thương đầu,,
D:xu-t-huy-t-ti-u-ho,Disease,Xuất huyết tiêu hoá,,
D:thi-u-m-u-n-o-tho-ng-qua,Disease,Thiếu máu não thoáng qua,,
D:t-ng-huy-t-p,Disease,Tăng huyết áp,,
D:b-nh-gan-n-ng,Disease,Bệnh gan nặng,,
D:vi-m-n-i-t-m-m-c-nhi-m-tr-ng,Disease,Viêm nội tâm mạc nhiễm trùng,,
D:lo-t-d-d-y,Disease,Loét dạ dày,,
DR:thu-c-ti-u-s-i-huy-t,Drug,Thuốc tiêu sợi huyết,,
DR:streptokinase,Drug,StreptoKinase,,
D:thuy-n-t-c-huy-t-kh-i,Disease,Thuyên tắc huyết khối,,
PR:t-l-i-l-c-t-nh-m-ch-ch-d-i,Procedure,Đặt lưới lọc tĩnh mạch chủ dưới,,
D:b-nh-tim-n-n-n-ng,Disease,Bệnh tim nền nặng,,
D:b-nh-ph-i-n-n-n-ng,Disease,Bệnh phổi nền nặng,,
DR:enoxaparine,Drug,Enoxaparine,,
DR:fondaparinux,Drug,Fondaparinux,,
D:gi-m-ti-u-c-u-do-heparin,Disease,giảm tiểu cầu do heparin,,
D:b-nh-l-n-i-khoa,Disease,bệnh lý nội khoa,,
DR:enoxaparin,Drug,Enoxaparin,,
DR:dalteparin,Drug,Dalteparin,,
DR:warfarin,Drug,Warfarin,,
DR:rivaroxaban,Drug,Rivaroxaban,,
DR:dabigatran,Drug,Dabigatran,,
IM:ct-a-l-t-c-t,ImagingModality,CT đa lát cắt,,
D:c-n-hen-ph-qu-n-c-p,Disease,Cơn hen phế quản cấp,,
D:hen-ph-qu-n,Disease,Hen phế quản,,
RF:y-u-t-nguy-c,RiskFactor,Yếu tố nguy cơ,,
D:vi-m-ng-h-h-p,Disease,Viêm đường hô hấp,,
IF:h-p-ph-qu-n,ImagingFinding,Hẹp phế quản,,
CS:kh-th-c-p,ClinicalSign,Khó thở cấp,,
D:vi-m-m-i-d-ng,Disease,Viêm mũi dị ứng,,
D:vi-m-m-t-d-ng,Disease,Viêm mắt dị ứng,,
CS:ho,ClinicalSign,Ho,,
CS:kh-kh,ClinicalSign,Khò khè,,
CS:n-ng-ng-c,ClinicalSign,Nặng ngực,,
CS:kh-th,ClinicalSign,Khó thở,,
LT:h-h-p-k-spirometry,LabTest,Hô hấp ký (Spirometry),,
M:o-l-u-l-ng-nh-th-th-ra-pef,Measurement,Đo lưu lượng đỉnh thì thở ra (PEF),,
D:b-i-nhi-m,Disease,Bội nhiễm,,
LT:bc-t-ng,LabTest,BC tăng,,
CS:s-t,ClinicalSign,sốt,,
CS:kh-c-m-m,ClinicalSign,khạc đàm mủ,,
D:hen-pq,Disease,Hen PQ,,
CS:kh-th-k-ch-ph-t,ClinicalSign,khó thở kịch phát,,
PR:t-n-i-kh-qu-n,Procedure,đặt nội khí quản,,
PR:nh-p-vi-n,Procedure,nhập viện,,
PR:c-p-c-u,Procedure,cấp cứu,,
DR:thu-c-gi-n-ph-qu-n-beta2-t-c-d-ng-ng-n,Drug,Thuốc giãn phế quản beta2 tác dụng ngắn,,
DR:corticosteroid-ng-to-n-th-n,Drug,Corticosteroid đường toàn thân,,
D:b-nh-tim-m-ch,Disease,Bệnh tim mạch,,
D:b-nh-ph-i-t-c-ngh-n-m-n-t-nh,Disease,Bệnh phổi tắc nghẽn mạn tính,,
D:b-nh-l-t-m-th-n-n-ng,Disease,Bệnh lý tâm thần nặng,,
M:p-l-c,Measurement,Áp lực,,
CS:m-t-m-i-c-h-h-p,ClinicalSign,Mệt mỏi cơ hô hấp,,
CS:t-m-t-i,ClinicalSign,Tím tái,,
CS:ran-r-t,ClinicalSign,Ran rít,,
M:pef,Measurement,PEF,,
DR:gi-n-pq,Drug,giãn PQ,,
M:measurement,Measurement,Measurement,,
M:sao2,Measurement,SaO2,,
LT:kh-m-u-ng-m-ch,LabTest,Khí máu động mạch,,
M:pao2,Measurement,PaO2,,
M:paco2,Measurement,PaCO2,,
D:suy-h-h-p,Disease,Suy hô hấp,,
SV:severity,Severity,Severity,,
TR:i-u-tr,Treatment,Điều trị,,
DR:beta2-adrenergic-agonist,Drug,beta2 adrenergic agonist,,
DR:corticosteroid,Drug,corticosteroid,,
D:c-n-c-p-hen-pq-m-c-trung-b-nh-n-ng,Disease,cơn cấp hen PQ mức độ trung bình – nặng,,
DR:2-agonists,Drug,β2 agonists,,
DR:salbutamol,Drug,Salbutamol,,
DR:terbutaline,Drug,Terbutaline,,
DR:fenoterol-ipratropium-bromide,Drug,Fenoterol + Ipratropium bromide,,
DR:epinephrine,Drug,Epinephrine,,
DR:ipratropium-bromide,Drug,Ipratropium bromide,,
DR:fenoterol-ipratropium-bromine,Drug,Fenoterol + Ipratropium bromine,,
DR:corticosteroid,Drug,Corticosteroid,,
CS:kh-th,ClinicalSign,khó thở,,
DR:budesonid,Drug,Budesonid,,
DR:fluticasone,Drug,Fluticasone,,
DR:corticoid-ng-to-n-th-n,Drug,corticoid đường toàn thân,,
D:hen-pq-c-p,Disease,Hen PQ cấp,,
DR:corticosteroid-u-ng,Drug,corticosteroid uống,,
DR:2-agonist,Drug,β2 agonist,,
DR:anticholinergic,Drug,anticholinergic,,
D:t-c-p-b-nh-ph-i-t-c-ngh-n-m-n-t-nh,Disease,Đợt cấp bệnh phổi tắc nghẽn mạn tính,,
D:t-c-p-copd,Disease,Đợt cấp COPD,,
CS:m-i-m-u,ClinicalSign,đàm đổi màu,,
CS:t-ng-s-l-ng-m,ClinicalSign,tăng số lượng đàm,,
CS:gi-m-s-t-nh-t-o,ClinicalSign,giảm sự tỉnh táo,,
CS:t-m-t-i-trung-ng,ClinicalSign,tím tái trung ương,,
CS:th-nhanh,ClinicalSign,thở nhanh,,
M:24-l-n-ph-t,Measurement,> 24 lần/phút,,
CS:co-k-o-c-h-h-p-ph,ClinicalSign,Co kéo cơ hô hấp phụ,,
CS:c-ng-l-ng-ng-c-ngh-ch-l,ClinicalSign,Cử động lồng ngực nghịch lý,,
CS:l-ng-ng-c-c-ng-ph-ng,ClinicalSign,Lồng ngực căng phồng,,
CS:th-ch-m-m-i,ClinicalSign,Thở chúm môi,,
CS:huy-t-ng-h-c-kh-ng-n-nh,ClinicalSign,Huyết động học không ổn định,,
D:suy-tim-ph-i,Disease,Suy tim phải,,
CS:t-nh-m-ch-c-n-i,ClinicalSign,tĩnh mạch cổ nổi,,
CS:gan-to,ClinicalSign,gan to,,
CS:ph-m-t-c,ClinicalSign,phù mắt cá,,
LT:c-ng-th-c-m-u,LabTest,Công thức máu,,
LT:c-y-m-u,LabTest,cấy máu,,
CS:s-t-cao,ClinicalSign,sốt cao,,
D:nhi-m-tr-ng-n-ng,Disease,nhiễm trùng nặng,,
LT:ch-c-n-ng-th-n,LabTest,chức năng thận,,
LT:ion,LabTest,Ion đồ,,
CS:h-natri-m-u,ClinicalSign,hạ natri máu,,
CS:h-kali-m-u,ClinicalSign,hạ kali máu,,
CS:t-ng-ng-huy-t,ClinicalSign,tăng đường huyết,,
CS:gi-m-albumine-m-u,ClinicalSign,giảm albumine máu,,
LT:crp,LabTest,CRP,,
D:t-c-p-nhi-m-tr-ng,Disease,đợt cấp nhiễm trùng,,
LT:x-t-nghi-m-m,LabTest,xét nghiệm đàm,,
LT:nhu-m-gram,LabTest,Nhuộm Gram,,
LT:c-y-m,LabTest,cấy đàm,,
LT:ch-c-n-ng-h-h-p,LabTest,chức năng hô hấp,,
M:o-l-u-l-ng-nh-pef,Measurement,đo lưu lượng đỉnh (PEF),,
IM:x-quang-ng-c,ImagingModality,X Quang ngực,,
D:suy-tim-tr-i,Disease,suy tim trái,,
D:tr-n-kh-m-ng-ph-i,Disease,tràn khí màng phổi,,
D:x-p-ph-i,Disease,xẹp phổi,,
D:vi-m-ph-i,Disease,viêm phổi,,
LT:i-n-t-m,LabTest,Điện tâm đồ,,
D:thuy-n-t-c-ph-i,Disease,thuyên tắc phổi,,
LT:d-dimer,LabTest,D-Dimer,,
IM:x-h-nh-ph-i-th-ng-kh-t-i-m-u,ImagingModality,xạ hình phổi thông khí/tưới máu,,
IM:si-u-m-doppler-chi-d-i,ImagingModality,siêu âm Doppler chi dưới,,
IM:ct-scan-xo-n-c-c-c-n-quang,ImagingModality,CT scan xoắn ốc có cản quang,,
CS:tri-u-ch-ng,ClinicalSign,triệu chứng,,
CS:t-ng-th-t-ch-m,ClinicalSign,tăng thể tích đàm,,
CS:vhht,ClinicalSign,VHHT,,
CS:s-t,ClinicalSign,Sốt,,
CS:t-ng-nh-p-tim,ClinicalSign,Tăng nhịp tim,,
CS:t-ng-nh-p-th,ClinicalSign,Tăng nhịp thở,,
SV:trung-b-nh,Severity,trung bình,,
TR:i-u-tr-t-c-p,Treatment,Điều trị đợt cấp,,
D:copd-nh,Disease,COPD nhẹ,,
SV:nh,Severity,nhẹ,,
D:copd-n-ng,Disease,COPD nặng,,
SV:n-ng,Severity,nặng,,
IM:x-quang-ng-c,ImagingModality,X-quang ngực,,
DR:thu-c-gi-n-ph-qu-n,Drug,Thuốc giãn phế quản,,
DR:kh-ng-sinh,Drug,Kháng sinh,,
DR:thu-c-gi-n-ph,Drug,Thuốc giãn phế,,
D:copd-exacerbation,Disease,COPD exacerbation,,
SV:copd-m-c-n-ng,Severity,COPD mức độ nặng,,
CS:t-m-t-i,ClinicalSign,tím tái,,
CS:ph-ngo-i-vi,ClinicalSign,phù ngoại vi,,
CS:lo-n-nh-p-tim,ClinicalSign,loạn nhịp tim,,
RF:tu-i-cao,RiskFactor,tuổi cao,,
CS:r-i-lo-n-tri-gi-c,ClinicalSign,Rối loạn tri giác,,
CS:gi-m-oxy-m-u,ClinicalSign,Giảm Oxy máu,,
CS:t-ng-th-n,ClinicalSign,tăng thán,,
CS:toan-h-h-p,ClinicalSign,toan hô hấp,,
PR:th-ng-kh-p-l-c-d-ng-kh-ng-x-m-l-n,Procedure,thông khí áp lực dương không xâm lấn,,
DR:thu-c-gi-n-ph-qu-n,Drug,thuốc giãn phế quản,,
DR:kh-ng-sinh,Drug,kháng sinh,,
DR:methylprednisolone,Drug,methylprednisolone,,
CS:m-i-m-u-c,ClinicalSign,đàm đổi màu đục,,
CS:gia-t-ng-s-l-ng-m,ClinicalSign,gia tăng số lượng đàm,,
CS:gia-t-ng-kh-th,ClinicalSign,gia tăng khó thở,,
PR:th-m-y,Procedure,thở máy,,
SV:nh,Severity,Nhẹ,,
RF:y-u-t-nguy-c-ti-n-l-ng-x-u,RiskFactor,Yếu tố nguy cơ tiên lượng xấu,,
PTH:h-influenzae,Pathogen,H. influenzae,,
PTH:s-pneumoniae,Pathogen,S. pneumoniae,,
PTH:m-catarrhalis,Pathogen,M. catarrhalis,,
PTH:chlamydia-pneumoniae,Pathogen,Chlamydia pneumoniae,,
PTH:viruses,Pathogen,Viruses,,
DR:doxycycline,Drug,Doxycycline,,
DR:trimethoprim-sulfamethoxazole,Drug,Trimethoprim/ Sulfamethoxazole,,
DR:lactam-c-ch-lactamase,Drug,β-lactam/ ức chế β-lactamase,,
DR:co-amoxiclav,Drug,Co-amoxiclav,,
DR:ampi-sulbactam,Drug,Ampi/sulbactam,,
DR:macrolides,Drug,Macrolides,,
DR:azithromycin,Drug,Azithromycin,,
DR:clarithromycin,Drug,Clarithromycin,,
DR:roxithromycine,Drug,Roxithromycine,,
DR:cephalosporins-th-h-2-3,Drug,"Cephalosporins thế hệ 2, 3",,
DR:ketolides,Drug,Ketolides,,
DR:telithromycin,Drug,Telithromycin,,
RF:ytnc-ti-n-l-ng-x-u,RiskFactor,YTNC tiên lượng xấu,,
SV:trung-b-nh,Severity,Trung bình,,
PTH:s-pneumoniae-kh-ng-thu-c,Pathogen,S. pneumoniae (kháng thuốc),,
PTH:enterobacteriaceae,Pathogen,Enterobacteriaceae,,
PTH:k-pneumoniae,Pathogen,K. pneumoniae,,
PTH:e-coli,Pathogen,E. coli,,
PTH:proteus,Pathogen,Proteus,,
PTH:enterobacter,Pathogen,Enterobacter,,
DR:lactam-c-ch-lactamase,Drug,β-lactam/ức chế β-lactamase,,
DR:fluoroquinolones,Drug,Fluoroquinolones,,
DR:levofloxacin,Drug,Levofloxacin,,
DR:moxifloxacin,Drug,Moxifloxacin,,
DR:cephalosporins-th-h-2-3-d-ng-ch-ch,Drug,"Cephalosporins thế hệ 2, 3 (dạng chích)",,
SV:n-ng,Severity,Nặng,,
RF:ytnc-nhi-m-pseudomonas,RiskFactor,YTNC nhiễm Pseudomonas,,
PTH:p-aeruginosa,Pathogen,P. aeruginosa,,
DR:ciprofloxacin,Drug,Ciprofloxacin,,
DR:levofloxacin-li-u-cao,Drug,Levofloxacin (liều cao),,
PTH:pseudomonas-aeruginosa,Pathogen,Pseudomonas aeruginosa,,
D:copd-giai-o-n-n-ng,Disease,COPD giai đoạn nặng,,
D:t-c-p-copd,Disease,đợt cấp COPD,,
TR:oxy,Treatment,oxy,,
IM:x-quang-ng-c,ImagingModality,X quang ngực,,
M:t-ng-paco2-m-u,Measurement,tăng PaCO2 máu,,
D:toan-h-h-p,Disease,toan hô hấp,,
PR:th-ng-kh-p-l-c-d-ng-kh-ng-x-m-l-n-nippv,Procedure,thông khí áp lực dương không xâm lấn (NIPPV),,
CS:ng-ng-th,ClinicalSign,Ngưng thở,,
D:nmct,Disease,NMCT,,
CS:gi-m-o2-m-u,ClinicalSign,Giảm O2 máu,,
D:toan-m-u-n-ng,Disease,Toan máu nặng,,
CS:t-ng-th-n-n-ng,ClinicalSign,tăng thán nặng,,
D:tr-n-d-ch-m-ng-ph-i,Disease,tràn dịch màng phổi,,
PR:th-ng-kh-c-h-c-x-m-l-n,Procedure,Thông khí cơ học xâm lấn,,
M:fev1,Measurement,FEV1,,
PTH:huy-t-kh-i,Pathogen,huyết khối,,
D:suy-tim-ph-i,Disease,suy tim phải,,
D:thuy-n-t-c-ph-i-do-huy-t-kh-i,Disease,Thuyên tắc phổi do huyết khối,,
IM:ch-p-c-t-l-p-i-n-to-n,ImagingModality,Chụp cắt lớp điện toán,,
RF:b-t-ng,RiskFactor,Bất động,,
AS:ng-m-ch-ph-i-th-y,AnatomicalSite,Động mạch phổi thùy,,
TR:ti-u-s-i-huy-t,Treatment,tiêu sợi huyết,,
DR:enoxaparin,Drug,enoxaparin,,
DR:kh-ng-ng-ng-u-ng-kh-ng-ph-i-kh-ng-vitamin-k,Drug,Kháng đông đường uống không phải kháng vitamin K,,
DR:thu-c-kh-ng-vitamin-k,Drug,Thuốc kháng vitamin K,,
RF:y-u-t-nguy-c,RiskFactor,yếu tố nguy cơ,,
D:pulmonary-embolism-pe,Disease,Pulmonary embolism (PE),,
D:pe,Disease,PE,,
RF:immobility,RiskFactor,immobility,,
CS:dyspnea,ClinicalSign,dyspnea,,
LT:electrocardiography,LabTest,Electrocardiography,,
IM:ct,ImagingModality,CT,,
AS:lobar-pulmonary-arteries,AnatomicalSite,lobar pulmonary arteries,,
TR:fibrinolytic-therapy,Treatment,fibrinolytic therapy,,
DR:non-vitamin-k-antagonist-oral-anticoagulants,Drug,non-vitamin K antagonist oral anticoagulants,,
DR:vitamin-k-antagonist,Drug,vitamin K antagonist,,
D:pulmonary-embolism,Disease,pulmonary embolism,,
RF:risk-factor,RiskFactor,risk factor,,
RF:b-t-ng-3-ng-y,RiskFactor,Bất động > 3 ngày,,
RF:b-nh-c-t-nh,RiskFactor,Bệnh ác tính,,
RF:ti-n-c-n-ph-u-thu-t,RiskFactor,Tiền căn phẫu thuật,,
D:thuy-n-t-c-huy-t-kh-i-t-nh-m-ch,Disease,Thuyên tắc huyết khối tĩnh mạch,,
D:b-nh-ph-i-t-c-ngh-n-m-n-t-nh-copd,Disease,Bệnh phổi tắc nghẽn mạn tính (COPD),,
RF:ch-n-th-ng,RiskFactor,Chấn thương,,
RF:b-o-ph,RiskFactor,Béo phì,,
RF:g-y-x-ng,RiskFactor,Gãy xương,,
D:suy-t-nh-m-ch,Disease,Suy tĩnh mạch,,
LT:thi-u-antithrombin-iii,LabTest,Thiếu antithrombin III,,
LT:thi-u-protein-c,LabTest,Thiếu protein C,,
LT:thi-u-protein-s,LabTest,Thiếu protein S,,
CS:tri-u-ch-ng,ClinicalSign,Triệu chứng,,
CS:au-ng-c,ClinicalSign,Đau ngực,,
CS:au-m-t-b-n-ch-n,ClinicalSign,Đau một bên chân,,
CS:ng-t,ClinicalSign,Ngất,,
CS:t-m,ClinicalSign,Tím,,
D:ng-ng-tim,Disease,Ngưng tim,,
D:block-nh-nh-ph-i,Disease,Block nhánh phải,,
CS:s1q3t3,ClinicalSign,S1Q3T3,,
CS:d-u-t-ng-g-nh-th-t-ph-i,ClinicalSign,Dấu tăng gánh thất phải,,
IF:d-u-hampton,ImagingFinding,Dấu Hampton,,
IF:d-n-nh-nh-xu-ng-ng-m-ch-ph-i,ImagingFinding,Dãn nhánh xuống động mạch phổi,,
CS:d-u-fleischner,ClinicalSign,Dấu Fleischner,,
IF:th-m-nhi-m-ph-i,ImagingFinding,Thâm nhiễm phổi,,
IF:gi-m-ng-th-t-ph-i,ImagingFinding,Giảm động thất phải,,
IF:v-ch-li-n-th-t-ph-ng-v-n-ng-ngh-ch,ImagingFinding,"Vách liên thất phẳng, vận động nghịch",,
D:h-van-3-l,Disease,Hở van 3 lá,,
D:huy-t-kh-i-t-nh-m-ch-s-u-chi-d-i,Disease,huyết khối tĩnh mạch sâu chi dưới,,
AS:chi-d-i,AnatomicalSite,chi dưới,,
D:huy-t-kh-i-g-n,Disease,huyết khối gần,,
D:huy-t-kh-i-xa,Disease,huyết khối xa,,
D:huy-t-kh-i-ng-m-ch-ph-i,Disease,Huyết khối động mạch phổi,,
AS:ph-i,AnatomicalSite,phổi,,
SV:nguy-c-cao,Severity,nguy cơ cao,,
SV:nguy-c-th-p,Severity,nguy cơ thấp,,
DR:heparin,Drug,heparin,,
DR:kh-ng-ng-ng-u-ng,Drug,kháng đông đường uống,,
DR:ti-u-s-i-huy-t,Drug,tiêu sợi huyết,,
TR:ti-u-s-i-huy-t,Treatment,Tiêu sợi huyết,,
DR:alteplase,Drug,Alteplase,,
DR:heparin-kh-ng-ph-n-o-n,Drug,Heparin không phân đoạn,,
DR:noac,Drug,NOAC,,
DR:kh-ng-vitamin-k,Drug,Kháng vitamin K,,
D:huy-t-kh-i,Disease,huyết khối,,
PR:l-i-l-c-t-nh-m-ch-ch-d-i,Procedure,Lưới lọc tĩnh mạch chủ dưới,,
D:thuy-n-t-c-ph-i-ttp,Disease,Thuyên tắc phổi (TTP),,
RF:tu-i,RiskFactor,tuổi,,
RF:ti-n-c-n-huy-t-kh-i-thuy-n-t-c,RiskFactor,tiền căn huyết khối thuyên tắc,,
RF:ung-th,RiskFactor,ung thư,,
RF:b-nh-th-n-kinh-g-y-li-t,RiskFactor,bệnh thần kinh gây liệt,,
RF:b-t-ng-k-o-d-i,RiskFactor,bất động kéo dài,,
RF:b-nh-l-t-ng-ng,RiskFactor,bệnh lý tăng đông,,
RF:d-ng-hormon-thay-th,RiskFactor,dùng hormon thay thế,,
RF:thu-c-ng-a-thai,RiskFactor,thuốc ngừa thai,,
RF:b-t-ng,RiskFactor,bất động,,
D:ung-th-ph-i,Disease,ung thư phổi,,
D:huy-t-kh-i-t-nh-m-ch-s-u-chi-d-i,Disease,Huyết khối tĩnh mạch sâu chi dưới,,
PR:ph-u-thu-t-ch-nh-h-nh,Procedure,phẫu thuật chỉnh hình,,
PR:ph-u-thu-t,Procedure,phẫu thuật,,
D:b-nh-ph-i-t-c-ngh-n-m-n-t-nh-copd,Disease,Bệnh phổi tắc nghẽn mạn tính(COPD),,
D:b-nh-l-thuy-n-t-c-huy-t-kh-i-t-nh-m-ch,Disease,bệnh lý thuyên tắc huyết khối tĩnh mạch,,
CS:au-m-t-b-n-ch-n,ClinicalSign,đau một bên chân,,
CS:tri-u-ch-ng-l-m-s-ng-huy-t-kh-i-t-nh-m-ch,ClinicalSign,triệu chứng lâm sàng huyết khối tĩnh mạch,,
CS:nh-p-nhanh-xoang,ClinicalSign,nhịp nhanh xoang,,
CS:thay-i-st-t-kh-ng-c-hi-u,ClinicalSign,thay đổi ST-T không đặc hiệu,,
CS:t-m-ph-c-p,ClinicalSign,tâm phế cấp,,
CS:t-ng-g-nh-th-t,ClinicalSign,tăng gánh thất,,
D:t-c-ng-m-ch-ph-i,Disease,Tắc động mạch phổi,,
AS:ng-m-ch-ph-i,AnatomicalSite,động mạch phổi,,
IM:ct-ng-m-ch-ph-i,ImagingModality,CT động mạch phổi,,
IM:dsa-ng-m-ch-ph-i,ImagingModality,DSA động mạch phổi,,
D:t-c-ng-m-ch-ph-i-c-p-t-nh,Disease,Tắc động mạch phổi cấp tính,,
D:t-c-ng-m-ch-ph-i-m-n-t-nh,Disease,Tắc động mạch phổi mạn tính,,
IM:ctpa,ImagingModality,CTPA,,
D:pulmonary-embolism,Disease,Pulmonary embolism,,
D:b-c-t-ch-mc-ng-c,Disease,Bóc tách đmc ngực,,
D:vi-m-th-c-qu-n,Disease,Viêm thực quản,,
D:u-ph-i,Disease,U phổi,,
D:b-nh-l-m-ng-ph-i,Disease,Bệnh lý màng phổi,,
D:g-y-x-ng-s-n,Disease,Gãy xương sườn,,
D:t-c-ng-m-ch-ph-i-c-p,Disease,Tắc động mạch phổi cấp,,
IF:khuy-t-thu-c,ImagingFinding,Khuyết thuốc,,
IF:t-ng-m-nhu-m-ph-i,ImagingFinding,Tăng đậm độ nhu mô phổi,,
IF:t-ng-m-d-ng-ng,ImagingFinding,Tăng đậm độ dạng đường,,
